    #index           Reference          Calculated         Polynomials          Dispersion    Electrostatics (Permanent + Induced)    
       208     -1.03400000e+00     -1.45210600e+00      7.34344967e+00     -3.43164638e+00                         -5.36390929e+00    
       209     -3.48600000e+00     -2.16777307e+00      2.78253404e+00     -2.49679756e+00                         -2.45350955e+00    
       210     -1.94600000e+00     -1.65496665e+00      4.66310927e+00     -3.10221462e+00                         -3.21586130e+00    
       211     -3.72300000e+00     -2.82740906e+00      4.52250154e+00     -2.80753632e+00                         -4.54237429e+00    
       212     -2.39000000e-01     -1.05889012e+00      6.22146088e+00     -3.03780792e+00                         -4.24254308e+00    
       213     -3.49300000e+00     -2.16869739e+00      1.52194784e+00     -1.70212590e+00                         -1.98851933e+00    
       214     -2.91900000e+00     -3.10302550e+00      3.94482913e+00     -2.78767894e+00                         -4.26017569e+00    
       215     -1.24000000e+00     -1.65788118e-01      1.19706743e+01     -4.75105607e+00                         -7.38540633e+00    
       216     -2.22000000e+00     -1.75268320e+00      2.69081071e+00     -2.04612625e+00                         -2.39736766e+00    
       217     -1.74200000e+00     -2.23272323e+00      1.91545964e+00     -2.17584847e+00                         -1.97233440e+00    
       218     -7.10900000e+00     -3.14004079e-01      7.00944662e+00     -3.67751369e+00                         -3.64593701e+00    
       219     -2.87500000e+00     -2.87656096e+00      4.89708421e+00     -2.80860320e+00                         -4.96504197e+00    
       220     -3.05200000e+00     -2.68579746e+00      5.44310617e+00     -3.59308295e+00                         -4.53582067e+00    
       221     -3.26600000e+00     -3.43614641e+00      1.42816354e+00     -1.94435095e+00                         -2.91995901e+00    
       222     -2.42600000e+00     -2.92285044e+00      4.65778587e+00     -3.09512553e+00                         -4.48551078e+00    
       223     -1.72700000e+00     -2.26032048e+00      4.70627750e+00     -3.01559515e+00                         -3.95100282e+00    
       224     -1.33000000e+00     -9.09542807e-01      5.11857260e+00     -2.58203707e+00                         -3.44607833e+00    
       225     -2.63000000e+00     -6.48084361e-01      2.59000194e+00     -1.64219339e+00                         -1.59589291e+00    
       226     -2.22000000e+00     -2.10645237e+00      4.30878436e+00     -2.58722789e+00                         -3.82800884e+00    
       227     -3.95300000e+00     -3.46814213e+00      2.85555022e+00     -2.70367924e+00                         -3.62001311e+00    
       228     -1.52200000e+00     -1.11830748e+00      3.19594440e+00     -2.32447760e+00                         -1.98977427e+00    
       229     -2.36500000e+00     -8.54948561e-01      1.07886132e+01     -4.50510102e+00                         -7.13846069e+00    
       230     -2.98300000e+00     -2.55007980e+00      1.94102811e+00     -2.23867522e+00                         -2.25243269e+00    
       231     -4.61800000e+00     -3.51960924e+00      2.03169993e+00     -2.38121113e+00                         -3.17009803e+00    
       232     -1.79000000e+00     -1.75659196e+00      4.45865740e+00     -2.49469252e+00                         -3.72055684e+00    
       233     -2.26500000e+00     -1.55547703e+00      2.63499784e+00     -2.28298885e+00                         -1.90748602e+00    
       234     -2.85500000e+00     -3.11984713e-01      5.68351168e+00     -3.17137966e+00                         -2.82411673e+00    
       235     -1.31200000e+00     -1.54681938e+00      7.00846760e+00     -3.57995108e+00                         -4.97533589e+00    
       236     -1.92800000e+00     -2.31605556e+00      4.32619561e+00     -2.56454111e+00                         -4.07771005e+00    
       237     -4.41600000e+00     -1.62049470e+00      3.91076640e+00     -2.77127666e+00                         -2.75998444e+00    
       238     -2.75800000e+00     -2.94209610e+00      4.64481043e+00     -2.93292133e+00                         -4.65398520e+00    
       239     -2.02100000e+00     -1.30261792e+00      2.91615628e+00     -2.29350045e+00                         -1.92527375e+00    
       240     -1.75200000e+00     -3.11351514e+00      1.02099444e+00     -1.77595809e+00                         -2.35855149e+00    
       241     -2.39800000e+00     -1.19637117e+00      8.11569515e+00     -3.62537268e+00                         -5.68669364e+00    
       242     -3.62200000e+00     -2.62434722e+00      1.86606959e+00     -2.16485635e+00                         -2.32556046e+00    
       243     -1.68700000e+00     -2.54323345e+00      2.57622322e+00     -2.59397720e+00                         -2.52547946e+00    
       244     -2.24200000e+00     -1.96390702e+00      2.99741242e+00     -2.52112476e+00                         -2.44019469e+00    
       245     -2.84900000e+00     -1.32586024e+00      5.29594754e+00     -3.21469773e+00                         -3.40711006e+00    
       246     -1.18400000e+00     -1.32231969e+00      3.74854366e+00     -2.27936956e+00                         -2.79149379e+00    
       247     -1.76200000e+00     -1.78440116e+00      4.69084485e+00     -2.82594434e+00                         -3.64930167e+00    
       248     -4.32400000e+00     -3.33953676e+00      6.87332442e-01     -1.79900587e+00                         -2.22786334e+00    
       249     -2.13900000e+00     -1.74885497e+00      3.55961507e+00     -2.39087921e+00                         -2.91759083e+00    
       250     -3.39100000e+00     -4.49394506e+00      1.02696086e+00     -2.05559785e+00                         -3.46530807e+00    
       251      2.56990000e+01      2.55930170e+01      3.13989080e+01     -2.14167369e+00                         -3.66421727e+00    
       252     -2.15700000e+00     -1.57299499e+00      1.34500971e+00     -1.66118388e+00                         -1.25682082e+00    
       253     -3.21700000e+00     -3.68346090e+00     -2.33547504e-01     -1.35038975e+00                         -2.09952364e+00    
       254     -1.16700000e+00     -1.24085347e+00      6.68626689e+00     -3.13341163e+00                         -4.79370873e+00    
       255     -3.56500000e+00     -4.07924294e+00      2.88695279e+00     -2.60768776e+00                         -4.35850798e+00    
