#     index      Reference     Calculated        Error^2    
       394 4.48181747e+00 4.33507367e+00 2.15337425e-02    
       395 4.83281747e+00 5.45366735e+00 3.85454570e-01    
       396 1.60281747e+00 1.64194913e+00 1.53128692e-03    
       397 2.15981747e+00 2.29931040e+00 1.94582785e-02    
       398 5.98081747e+00 5.70396811e+00 7.66455661e-02    
       399 6.09981747e+00 6.16054956e+00 3.68838666e-03    
       400 4.86381747e+00 5.02736990e+00 2.67493965e-02    
       401 3.69881747e+00 3.31401532e+00 1.48072694e-01    
       402 5.09081747e+00 5.00600546e+00 7.19307712e-03    
       403 2.50281747e+00 2.32916054e+00 3.01567280e-02    
       404 3.88481747e+00 3.26770888e+00 3.80823016e-01    
       405 3.24781747e+00 3.15570329e+00 8.48502197e-03    
       406 6.05981747e+00 5.98794894e+00 5.16508537e-03    
       407 4.67881747e+00 4.59431349e+00 7.14092313e-03    
       408 3.97681747e+00 4.13696538e+00 2.56473529e-02    
       409 6.47681747e+00 6.26665103e+00 4.41699305e-02    
       410 5.20581747e+00 5.08766865e+00 1.39591432e-02    
       411 2.35681747e+00 2.35838856e+00 2.46832192e-06    
       412 3.75481747e+00 3.61826260e+00 1.86472327e-02    
       413 2.96081747e+00 2.89611006e+00 4.18704840e-03    
       414 4.04381747e+00 4.44957232e+00 1.64636995e-01    
       415 3.69381747e+00 3.67512683e+00 3.49339898e-04    
       416 5.21181747e+00 5.00038703e+00 4.47028301e-02    
       417 3.34381747e+00 3.40545454e+00 3.79912835e-03    
       418 5.67081747e+00 6.40037726e+00 5.32257490e-01    
       419 3.19481747e+00 3.09303860e+00 1.03589377e-02    
       420 2.07981747e+00 2.13537737e+00 3.08690267e-03    
       421 3.64181747e+00 3.56055806e+00 6.60309194e-03    
       422 9.29181747e+00 9.61310415e+00 1.03225128e-01    
       423 3.53381747e+00 3.15656157e+00 1.42322015e-01    
       424 3.89481747e+00 3.69932368e+00 3.82178211e-02    
       425 4.68781747e+00 4.44770261e+00 5.76551462e-02    
       426 3.69481747e+00 3.42420225e+00 7.32325947e-02    
       427 3.05281747e+00 3.13957705e+00 7.52722393e-03    
       428 2.97781747e+00 3.08644944e+00 1.18009039e-02    
       429 8.10181747e+00 8.03870116e+00 3.98366817e-03    
