    #index           Reference          Calculated         Polynomials          Dispersion    Electrostatics (Permanent + Induced)    
       183      3.08881747e+00      2.90021879e+00      2.90021879e+00      0.00000000e+00                          0.00000000e+00    
       184      2.35481747e+00      2.12399818e+00      2.12399818e+00      0.00000000e+00                          0.00000000e+00    
       185      3.98281747e+00      4.01234128e+00      4.01234128e+00      0.00000000e+00                          0.00000000e+00    
       186      6.79881747e+00      6.54793237e+00      6.54793237e+00      0.00000000e+00                          0.00000000e+00    
       187      7.86881747e+00      8.01973811e+00      8.01973811e+00      0.00000000e+00                          0.00000000e+00    
       188      3.67181747e+00      3.52016604e+00      3.52016604e+00      0.00000000e+00                          0.00000000e+00    
       189      7.98181747e+00      7.62223993e+00      7.62223993e+00      0.00000000e+00                          0.00000000e+00    
       190      4.55181747e+00      4.54581849e+00      4.54581849e+00      0.00000000e+00                          0.00000000e+00    
       191      6.50681747e+00      7.05413203e+00      7.05413203e+00      0.00000000e+00                          0.00000000e+00    
       192      4.18481747e+00      4.23185173e+00      4.23185173e+00      0.00000000e+00                          0.00000000e+00    
       193      6.95581747e+00      7.11276024e+00      7.11276024e+00      0.00000000e+00                          0.00000000e+00    
       194      4.25081747e+00      4.10724327e+00      4.10724327e+00      0.00000000e+00                          0.00000000e+00    
       195      3.38381747e+00      3.46472887e+00      3.46472887e+00      0.00000000e+00                          0.00000000e+00    
       196      3.38681747e+00      3.68128590e+00      3.68128590e+00      0.00000000e+00                          0.00000000e+00    
       197      2.54181747e+00      2.51563446e+00      2.51563446e+00      0.00000000e+00                          0.00000000e+00    
       198      3.65781747e+00      3.60687332e+00      3.60687332e+00      0.00000000e+00                          0.00000000e+00    
       199      7.57181747e+00      7.17546021e+00      7.17546021e+00      0.00000000e+00                          0.00000000e+00    
       200      2.28181747e+00      2.19676736e+00      2.19676736e+00      0.00000000e+00                          0.00000000e+00    
       201      5.04281747e+00      5.02584443e+00      5.02584443e+00      0.00000000e+00                          0.00000000e+00    
       202      3.01181747e+00      3.09713104e+00      3.09713104e+00      0.00000000e+00                          0.00000000e+00    
       203      6.35381747e+00      6.49952151e+00      6.49952151e+00      0.00000000e+00                          0.00000000e+00    
       204      2.48481747e+00      2.56722736e+00      2.56722736e+00      0.00000000e+00                          0.00000000e+00    
       205      7.31081747e+00      7.04913473e+00      7.04913473e+00      0.00000000e+00                          0.00000000e+00    
       206      2.59381747e+00      2.48741934e+00      2.48741934e+00      0.00000000e+00                          0.00000000e+00    
       207      3.12281747e+00      3.33014189e+00      3.33014189e+00      0.00000000e+00                          0.00000000e+00    
       208      6.02281747e+00      5.77989481e+00      5.77989481e+00      0.00000000e+00                          0.00000000e+00    
       209      6.04981747e+00      5.82371437e+00      5.82371437e+00      0.00000000e+00                          0.00000000e+00    
       210      4.75381747e+00      4.43803946e+00      4.43803946e+00      0.00000000e+00                          0.00000000e+00    
       211      5.26981747e+00      5.60742257e+00      5.60742257e+00      0.00000000e+00                          0.00000000e+00    
       212      3.72781747e+00      3.67390430e+00      3.67390430e+00      0.00000000e+00                          0.00000000e+00    
       213      3.13681747e+00      3.15365461e+00      3.15365461e+00      0.00000000e+00                          0.00000000e+00    
